ID,value
Fund 1-Fund 2,0.7412480375467828
Fund 1-Fund 3,0.8400727230410523
Fund 1-Fund 4,0.879618837229299
Fund 1-Fund 5,0.9173103696317499
Fund 1-Fund 6,0.5697099648539357
Fund 1-Fund 7,0.6496564663879631
Fund 1-Fund 8,0.5418998643767481
Fund 1-Fund 9,0.8532885860753603
Fund 1-Fund 10,0.8267122202321755
Fund 1-Fund 11,0.8048984030066479
Fund 1-Fund 12,0.7187257729623474
Fund 1-Fund 13,0.8777742573856273
Fund 1-Fund 14,0.9160372196901676
Fund 1-Fund 15,0.6355639960953454
Fund 1-Fund 16,0.9023645323339715
Fund 1-Fund 17,0.8930870053404727
Fund 1-Fund 18,0.8815554523884583
Fund 1-Fund 19,0.8448097977824569
Fund 1-Fund 20,0.7631796845768711
Fund 1-Fund 21,0.7505637386336916
Fund 1-Fund 22,0.8105418339224055
Fund 1-Fund 23,0.6350452212573041
Fund 1-Fund 24,0.7599700356422672
Fund 1-Fund 25,0.8419867142382564
Fund 1-Fund 26,0.7348572322587977
Fund 1-Fund 27,0.8358601950894522
Fund 1-Fund 28,0.9367374796265915
Fund 1-Fund 29,0.6628476669140215
Fund 1-Fund 30,0.7250099939358008
Fund 1-Fund 31,0.8704179348182095
Fund 1-Fund 32,0.8736938492842286
Fund 1-Fund 33,0.8578375833087062
Fund 1-Fund 34,0.8646551713095361
Fund 1-Fund 35,0.8469608466370409
Fund 1-Fund 36,0.5387914780788938
Fund 1-Fund 37,0.7978305738754288
Fund 1-Fund 38,0.877767006959604
Fund 1-Fund 39,0.7843218851356615
Fund 1-Fund 40,0.8469608466370409
Fund 1-Fund 41,0.8606376582167552
Fund 1-Fund 42,0.8549933807103582
Fund 1-Fund 43,0.7773188336480691
Fund 1-Fund 44,0.8111763746599432
Fund 1-Fund 45,0.9173103696317499
Fund 1-Fund 46,0.8181273104578517
Fund 1-Fund 47,0.8711023545165482
Fund 1-Fund 48,0.8477770853429218
Fund 1-Fund 49,0.8653057473454278
Fund 1-Fund 50,0.8555247457277799
Fund 1-Fund 51,0.8805136785975602
Fund 1-Fund 52,0.844934885996925
Fund 1-Fund 53,0.8890996521911638
Fund 1-Fund 54,0.9053207796805531
Fund 1-Fund 55,0.7973832748754186
Fund 1-Fund 56,0.7999398821256078
Fund 1-Fund 57,0.8718694993540801
Fund 1-Fund 58,0.9051932594880872
Fund 1-Fund 59,0.8696486257074647
Fund 1-Fund 60,0.8904660338234722
Fund 1-Fund 61,0.8560329091192036
Fund 1-Fund 62,0.8606376582167552
Fund 1-Fund 63,0.877767006959604
Fund 1-Fund 64,0.8757533393693517
Fund 1-Fund 65,0.824793979778859
Fund 1-Fund 66,0.8816046886573965
Fund 1-Fund 67,0.9128955106022045
Fund 1-Fund 68,0.8563494092980717
Fund 1-Fund 69,0.7955132280578796
Fund 1-Fund 70,0.638748246980013
Fund 1-Fund 71,0.6562464876205008
Fund 1-Fund 72,0.815662148594531
Fund 1-Fund 73,0.8688759988351764
Fund 1-Fund 74,0.8696486257074647
Fund 1-Fund 75,0.8611762459429664
Fund 1-Fund 76,0.7035468961278408
Fund 1-Fund 77,0.9025831439671346
Fund 1-Fund 78,0.8965077856910277
Fund 1-Fund 79,0.8871790184355324
Fund 1-Fund 80,0.7843218851356615
Fund 1-Fund 81,0.6960685166548835
Fund 1-Fund 82,0.6707622872924646
Fund 1-Fund 83,0.8597743784498988
Fund 1-Fund 84,0.7757131889440458
Fund 1-Fund 85,0.8674546403245347
Fund 1-Fund 86,0.6496564663879631
Fund 1-Fund 87,0.9034947172592542
Fund 1-Fund 88,0.8662588384304546
Fund 1-Fund 89,0.7690626056093809
Fund 1-Fund 90,0.8104278705294914
Fund 1-Fund 91,0.8922346269191512
Fund 1-Fund 92,0.7685238544229489
Fund 1-Fund 93,0.9128955106022045
Fund 1-Fund 94,0.6807193422999849
Fund 1-Fund 95,0.7056044698941668
Fund 1-Fund 96,0.8157822865622184
Fund 1-Fund 97,0.8468107896717845
Fund 1-Fund 98,0.8680943295104768
Fund 1-Fund 99,0.8517907655709662
Fund 1-Fund 100,0.8570005923235664
Fund 1-Fund 101,0.9019486032295969
Fund 1-Fund 102,0.7691583951604866
Fund 1-Fund 103,0.8831169616820775
Fund 1-Fund 104,0.7830377146212544
Fund 1-Fund 105,0.8477770853429218
Fund 1-Fund 106,0.8254177527895903
Fund 1-Fund 107,0.7966885467767943
Fund 1-Fund 108,0.8814092391168613
Fund 1-Fund 109,0.8704179348182095
Fund 1-Fund 110,0.8475953873745785
Fund 1-Fund 111,0.8915496059243349
Fund 1-Fund 112,0.8604140676358409
Fund 1-Fund 113,0.8710968724817918
Fund 1-Fund 114,0.8594710274456023
Fund 1-Fund 115,0.8872835846297573
Fund 1-Fund 116,0.7354917729963354
Fund 1-Fund 117,0.8235569550793993
Fund 1-Fund 118,0.8742205939609837
Fund 1-Fund 119,0.7427417840450153
Fund 1-Fund 120,0.7615208029353565
Fund 1-Fund 121,0.839867170596768
Fund 1-Fund 122,0.8979183712046723
Fund 1-Fund 123,0.8771397166480897
Fund 1-Fund 124,0.9326660344423667
Fund 1-Fund 125,0.8086434699483502
Fund 1-Fund 126,0.8503850896761218
Fund 1-Fund 127,0.9025831439671346
Fund 1-Fund 128,0.8639082273259142
Fund 1-Fund 129,0.8364008138565138
Fund 1-Fund 130,0.8190746280070456
Fund 1-Fund 131,0.8316799917414377
Fund 1-Fund 132,0.6457162282909552
Fund 1-Fund 133,0.8611015752789943
Fund 1-Fund 134,0.853923126812898
Fund 1-Fund 135,0.8904660338234722
Fund 1-Fund 136,0.9179388087777514
Fund 1-Fund 137,0.8286050523418003
Fund 1-Fund 138,0.6504731504043175
Fund 1-Fund 139,0.7417968563353131
Fund 1-Fund 140,0.7302084554698366
Fund 1-Fund 141,0.755033841222875
Fund 1-Fund 142,0.8503412077568966
Fund 1-Fund 143,0.6718211872313582
Fund 1-Fund 144,0.87730115430774
Fund 1-Fund 145,0.6750946634267794
Fund 1-Fund 146,0.874993220833272
Fund 1-Fund 147,0.8850889646126228
Fund 1-Fund 148,0.8651340962514931
Fund 1-Fund 149,0.8398331241517021
Fund 1-Fund 150,0.7700158051828563
Fund 1-Fund 151,0.8352799218357225
Fund 1-Fund 152,0.8950084130454836
Fund 1-Fund 153,0.8904660338234722
Fund 1-Fund 154,0.774813443048447
Fund 1-Fund 155,0.8639082273259142
Fund 1-Fund 156,0.7936057842048791
Fund 1-Fund 157,0.870552922811521
Fund 1-Fund 158,0.7832017088881607
Fund 1-Fund 159,0.8948808928530179
Fund 1-Fund 160,0.9039201095465046
Fund 1-Fund 161,0.7354917729963354
Fund 1-Fund 162,0.9371844151951758
Fund 1-Fund 163,0.8287692699556286
Fund 1-Fund 164,0.8161039951537059
Fund 1-Fund 165,0.8029714721546706
Fund 1-Fund 166,0.9025831439671346
Fund 1-Fund 167,0.7588215361315804
Fund 1-Fund 168,0.8488887125894968
Fund 1-Fund 169,0.8254539064839066
Fund 1-Fund 170,0.8777742573856273
Fund 1-Fund 171,0.8871790184355324
Fund 1-Fund 172,0.8880866240206966
Fund 1-Fund 173,0.859835619962104
Fund 1-Fund 174,0.8526029639513215
Fund 1-Fund 175,0.6911769232243719
Fund 1-Fund 176,0.8073978374894528
Fund 1-Fund 177,0.8111763746599432
Fund 1-Fund 178,0.9025831439671346
Fund 1-Fund 179,0.8559435200036964
Fund 1-Fund 180,0.8352799218357225
Fund 1-Fund 181,0.7849564258731991
Fund 1-Fund 182,0.8771898296278511
Fund 1-Fund 183,0.8912484521190893
Fund 1-Fund 184,0.7912609845327259
Fund 1-Fund 185,0.8630474100613064
Fund 1-Fund 186,0.8570005923235664
Fund 1-Fund 187,0.8942463521154802
Fund 1-Fund 188,0.8875021962629204
Fund 1-Fund 189,0.71188919139072
Fund 1-Fund 190,0.8524253063085039
Fund 1-Fund 191,0.8494779279900402
Fund 1-Fund 192,0.7685238544229489
Fund 1-Fund 193,0.7727656313320895
Fund 1-Fund 194,0.860312014245769
Fund 1-Fund 195,0.8374368141907038
Fund 1-Fund 196,0.7691583951604866
Fund 1-Fund 197,0.7778030883882313
Fund 1-Fund 198,0.6511550686361431
Fund 1-Fund 199,0.6681181615086496
Fund 1-Fund 200,0.6681181615086496
Fund 2-Fund 3,0.76451891989277
Fund 2-Fund 4,0.7201582482005795
Fund 2-Fund 5,0.8101946269576263
Fund 2-Fund 6,0.6933813466989007
Fund 2-Fund 7,0.7542320864260339
Fund 2-Fund 8,0.692401314198494
Fund 2-Fund 9,0.7442732675663044
Fund 2-Fund 10,0.7844272914586761
Fund 2-Fund 11,0.8253735234915476
Fund 2-Fund 12,0.8061395237411841
Fund 2-Fund 13,0.781227773609994
Fund 2-Fund 14,0.7552487930054377
Fund 2-Fund 15,0.7070350006645545
Fund 2-Fund 16,0.7899024294698596
Fund 2-Fund 17,0.81314200527609
Fund 2-Fund 18,0.7589619586578581
Fund 2-Fund 19,0.7142309866739238
Fund 2-Fund 20,0.8076498515522603
Fund 2-Fund 21,0.7616874986478338
Fund 2-Fund 22,0.7755986649137027
Fund 2-Fund 23,0.7773188336480691
Fund 2-Fund 24,0.6977786445065322
Fund 2-Fund 25,0.7243095017757097
Fund 2-Fund 26,0.7598545961292061
Fund 2-Fund 27,0.7747599893705707
Fund 2-Fund 28,0.7844272914586761
Fund 2-Fund 29,0.7223658681519853
Fund 2-Fund 30,0.7250099939358008
Fund 2-Fund 31,0.81314200527609
Fund 2-Fund 32,0.8372871334489305
Fund 2-Fund 33,0.7844977522356846
Fund 2-Fund 34,0.783649182154917
Fund 2-Fund 35,0.7887161579126891
Fund 2-Fund 36,0.7124051564479918
Fund 2-Fund 37,0.6443573649153707
Fund 2-Fund 38,0.8056631231014664
Fund 2-Fund 39,0.8338295091671926
Fund 2-Fund 40,0.6968293045672533
Fund 2-Fund 41,0.7887161579126891
Fund 2-Fund 42,0.7316153395384155
Fund 2-Fund 43,0.71188919139072
Fund 2-Fund 44,0.7070350006645545
Fund 2-Fund 45,0.7657894528552301
Fund 2-Fund 46,0.813237725975287
Fund 2-Fund 47,0.8022216271874381
Fund 2-Fund 48,0.5745085441140547
Fund 2-Fund 49,0.7589619586578581
Fund 2-Fund 50,0.7824891983009277
Fund 2-Fund 51,0.7866806365963326
Fund 2-Fund 52,0.730047450991943
Fund 2-Fund 53,0.730047450991943
Fund 2-Fund 54,0.7930387731681308
Fund 2-Fund 55,0.8260884472214443
Fund 2-Fund 56,0.7986680210911481
Fund 2-Fund 57,0.7044100261998887
Fund 2-Fund 58,0.7230897779455598
Fund 2-Fund 59,0.7959424811011726
Fund 2-Fund 60,0.7706119581288092
Fund 2-Fund 61,0.8147936901451274
Fund 2-Fund 62,0.8188035423252824
Fund 2-Fund 63,0.7338157639948449
Fund 2-Fund 64,0.7201768229773214
Fund 2-Fund 65,0.796941087979937
Fund 2-Fund 66,0.7328708362851427
Fund 2-Fund 67,0.7762585916187502
Fund 2-Fund 68,0.7844977522356846
Fund 2-Fund 69,0.8372498144214533
Fund 2-Fund 70,0.7751787569579467
Fund 2-Fund 71,0.7542980378485875
Fund 2-Fund 72,0.8106156091521608
Fund 2-Fund 73,0.8002692798346118
Fund 2-Fund 74,0.7365065698523511
Fund 2-Fund 75,0.8024960417425018
Fund 2-Fund 76,0.793236406085702
Fund 2-Fund 77,0.7307073776969906
Fund 2-Fund 78,0.742344196808017
Fund 2-Fund 79,0.7959424811011726
Fund 2-Fund 80,0.8294291966606762
Fund 2-Fund 81,0.79827805367778
Fund 2-Fund 82,0.8093661488241746
Fund 2-Fund 83,0.6862187837814611
Fund 2-Fund 84,0.725917955777226
Fund 2-Fund 85,0.7151207911444373
Fund 2-Fund 86,0.8061389176038012
Fund 2-Fund 87,0.7328708362851427
Fund 2-Fund 88,0.8243352147780678
Fund 2-Fund 89,0.6744653130151734
Fund 2-Fund 90,0.7631796845768711
Fund 2-Fund 91,0.6930062362780486
Fund 2-Fund 92,0.8059958454446163
Fund 2-Fund 93,0.7806197928312992
Fund 2-Fund 94,0.6617709799621008
Fund 2-Fund 95,0.7477792411011576
Fund 2-Fund 96,0.7112665721072001
Fund 2-Fund 97,0.7740317876006242
Fund 2-Fund 98,0.8079000958587426
Fund 2-Fund 99,0.8229331820686681
Fund 2-Fund 100,0.7328708362851427
Fund 2-Fund 101,0.7604605609060376
Fund 2-Fund 102,0.7380938306126045
Fund 2-Fund 103,0.8095347002525788
Fund 2-Fund 104,0.7783297562757587
Fund 2-Fund 105,0.7850221030125206
Fund 2-Fund 106,0.7768256026554986
Fund 2-Fund 107,0.7945832699376119
Fund 2-Fund 108,0.7206949614497642
Fund 2-Fund 109,0.8101946269576263
Fund 2-Fund 110,0.7554738541211442
Fund 2-Fund 111,0.777342838845778
Fund 2-Fund 112,0.7998980218797056
Fund 2-Fund 113,0.6731423500107538
Fund 2-Fund 114,0.8123135271426383
Fund 2-Fund 115,0.8009503276856911
Fund 2-Fund 116,0.8278819284999426
Fund 2-Fund 117,0.7468343133914553
Fund 2-Fund 118,0.7934095763895797
Fund 2-Fund 119,0.7667749845259308
